Date,starts,available,unavailable,change_time,total_events,avg_ms,errors
2025-12-19,2,0,0,0,33,2685.4375,0
2025-12-20,2,0,0,0,40,2685.4375,0
2025-12-21,2,0,0,0,38,2685.4375,0
2025-12-22,0,0,0,0,11,2685.4375,0
2025-12-23,0,0,0,0,4,2685.4375,0
2025-12-24,2,1,1,1,57,2685.4375,0
2025-12-26,0,0,0,0,14,2685.4375,0
2025-12-27,2,0,0,0,20,2685.4375,0
2025-12-28,0,0,0,0,3,2685.4375,0
2025-12-29,2,0,0,0,37,2685.4375,0
2025-12-30,0,0,0,0,11,2685.4375,0
2026-01-03,6,0,1,0,96,2685.4375,0
2026-01-04,0,0,0,0,3,2685.4375,0
2026-01-06,0,0,0,0,24,2685.4375,0
2026-01-07,0,0,0,0,12,2685.4375,0
2026-01-08,0,0,0,0,19,2685.4375,0
2026-01-09,0,0,0,0,12,2685.4375,0
2026-01-10,0,0,0,0,10,2685.4375,0
2026-01-11,0,0,0,0,3,2685.4375,0
2026-01-12,0,0,0,0,16,2685.4375,0
2026-01-13,8,0,1,1,104,2685.4375,0
2026-01-14,2,0,0,0,92,2685.4375,0
2026-01-15,0,0,0,0,24,2685.4375,0
