วัน/เดือน/ปี,สนามบอล,สถานะ
รวม,"251,098.00",
01/03/2569,"7,600.00",
02/03/2569,"9,800.00",
03/03/2569,"9,200.00",
04/03/2569,"7,800.00",
05/03/2569,"5,500.00",
06/03/2569,"12,300.00",
07/03/2569,"13,200.00",
08/03/2569,"5,400.00",
09/03/2569,"21,000.00",
10/03/2569,"7,600.00",
11/03/2569,"6,050.00",
12/03/2569,"9,000.00",
13/03/2569,"6,900.00",
14/03/2569,"5,700.00",
15/03/2569,"5,400.00",
16/03/2569,"8,800.00",
17/03/2569,"10,250.00",
18/03/2569,"6,350.00",
19/03/2569,"8,200.00",
20/03/2569,"5,000.00",
21/03/2569,"4,200.00",
22/03/2569,"8,500.00",
23/03/2569,"6,500.00",
24/03/2569,"9,100.00",
25/03/2569,"6,100.00",
26/03/2569,"6,500.00",
27/03/2569,"8,249.00",
28/03/2569,"7,300.00",
29/03/2569,"4,899.00",
30/03/2569,"10,400.00",
31/03/2569,"8,300.00",
